sequence_id,sequence_label,adc_samples,tool_key,tool_label,run,total_ms,total_seconds,median_seconds,q1_seconds,q3_seconds,status,error_type,error_message
writeFastRadialGradientEcho_rotExt,writeFastRadialGradientEcho_rotExt,122880,pypulseq,PyPulseq,5,,,,,,failed,ValueError,Unknown section code: extension ROTATIONS 1
writeFid,writeFid,65536,seqeyes,SeqEyes-Plus,1,738.2000002861023,0.7382000002861023,0.6480999999046325,0.6421999998092651,0.6676000003814697,complete,,
writeFid,writeFid,65536,seqeyes,SeqEyes-Plus,2,648.0999999046326,0.6480999999046325,0.6480999999046325,0.6421999998092651,0.6676000003814697,complete,,
writeFid,writeFid,65536,seqeyes,SeqEyes-Plus,3,642.1999998092651,0.6421999998092651,0.6480999999046325,0.6421999998092651,0.6676000003814697,complete,,
writeFid,writeFid,65536,seqeyes,SeqEyes-Plus,4,641.5,0.6415,0.6480999999046325,0.6421999998092651,0.6676000003814697,complete,,
writeFid,writeFid,65536,seqeyes,SeqEyes-Plus,5,667.6000003814697,0.6676000003814697,0.6480999999046325,0.6421999998092651,0.6676000003814697,complete,,
writeFid,writeFid,65536,matlab,Pulseq MATLAB,1,558.3095833333333,0.5583095833333334,0.43184104166666665,0.4294364583333333,0.43554766666666667,complete,,
writeFid,writeFid,65536,matlab,Pulseq MATLAB,2,429.43645833333335,0.4294364583333333,0.43184104166666665,0.4294364583333333,0.43554766666666667,complete,,
writeFid,writeFid,65536,matlab,Pulseq MATLAB,3,428.15616666666665,0.42815616666666667,0.43184104166666665,0.4294364583333333,0.43554766666666667,complete,,
writeFid,writeFid,65536,matlab,Pulseq MATLAB,4,435.54766666666666,0.43554766666666667,0.43184104166666665,0.4294364583333333,0.43554766666666667,complete,,
writeFid,writeFid,65536,matlab,Pulseq MATLAB,5,431.8410416666666,0.43184104166666665,0.43184104166666665,0.4294364583333333,0.43554766666666667,complete,,
writeFid,writeFid,65536,pypulseq,PyPulseq,1,503.3572092652321,0.5033572092652321,0.47275583259761333,0.4678474576212466,0.5033572092652321,complete,,
writeFid,writeFid,65536,pypulseq,PyPulseq,2,467.8474576212466,0.4678474576212466,0.47275583259761333,0.4678474576212466,0.5033572092652321,complete,,
writeFid,writeFid,65536,pypulseq,PyPulseq,3,549.2877499200404,0.5492877499200404,0.47275583259761333,0.4678474576212466,0.5033572092652321,complete,,
writeFid,writeFid,65536,pypulseq,PyPulseq,4,472.75583259761333,0.47275583259761333,0.47275583259761333,0.4678474576212466,0.5033572092652321,complete,,
writeFid,writeFid,65536,pypulseq,PyPulseq,5,455.32337483018637,0.45532337483018637,0.47275583259761333,0.4678474576212466,0.5033572092652321,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,seqeyes,SeqEyes-Plus,1,167.90000009536743,0.16790000009536743,0.16559999990463256,0.1655999994277954,0.16790000009536743,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,seqeyes,SeqEyes-Plus,2,165.5999994277954,0.1655999994277954,0.16559999990463256,0.1655999994277954,0.16790000009536743,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,seqeyes,SeqEyes-Plus,3,165.59999990463257,0.16559999990463256,0.16559999990463256,0.1655999994277954,0.16790000009536743,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,seqeyes,SeqEyes-Plus,4,149.79999923706055,0.14979999923706055,0.16559999990463256,0.1655999994277954,0.16790000009536743,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,seqeyes,SeqEyes-Plus,5,179.39999961853027,0.1793999996185303,0.16559999990463256,0.1655999994277954,0.16790000009536743,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,matlab,Pulseq MATLAB,1,1030.5024166666667,1.0305024166666668,1.0392418333333333,1.0320152916666667,1.046070625,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,matlab,Pulseq MATLAB,2,1046.4313750000001,1.046431375,1.0392418333333333,1.0320152916666667,1.046070625,complete,,
writeGRE_live_demo,writeGRE_live_demo,16384,matlab,Pulseq MATLAB,3,1032.0152916666668,1.0320152916666667,1.0392418333333333,1.0320152916666667,1.046070625,complete,,
